fullId,dataset,source (if applicable),name,text,relevant_receptacle,thumbnail_number
Crosley_Alarm_Clock_Vintage_Metal,googleobjs,,alarm clock,alarm clock,shelving_unit; chest_of_drawers,
alexa,amazon,https://a.co/d/0uoQ8zz,alexa smart home device,alexa,shelving_unit; chest_of_drawers,
118644ba80aa5048ac59fb466121cd17,shapenetsem,,apple,apple,fridge,
aromatic_oil_diffuser,amazon,https://a.co/d/5vqxmkS,aromatic oil diffuser,oil diffuser,shelving_unit; chest_of_drawers,
12a565f8aecaafcbce41b639931f9ca1,shapenetsem,,bag of sugar,sugar,kitchen_cabinet,
473758ca6cb0506ee7697d561711bd2b,shapenetsem,,banana,banana,fridge; kitchen_cabinet,11
b3718bdc7025004813f5ec8466b8a488,shapenetsem,,bar of soap,bar soap,bathroom_cabinet,
2294583b27469851da06470a491566ee,shapenetsem,,basket,basket,shelving_unit,
f23a544c04e2f5ccb50d0c6a0c254040,shapenetsem,,beer mug,beer mug,kitchen_cabinet,
loofah,amazon,https://a.co/d/9zJIWP3,body sponge (loofah),loofah,bathroom_cabinet,
body_wash,amazon,https://a.co/d/j9dJrCv,body wash,body wash,bathroom_cabinet,
a355beaa0446cee43a9ac064380c69d0,shapenetsem,,book,book,shelving_unit,
bottle_of_lemonade,amazon,https://a.co/d/4ccLCes,bottle of lemonade,lemonade,fridge,
d277dadd260c6b27aafe812f7403eb85,shapenetsem,,bottle of lotion,lotion,bathroom_cabinet; chest_of_drawers,
12816c0d897c1473f648b8701583b123,shapenetsem,,bottle of perfume,perfume,chest_of_drawers; bathroom_cabinet,
109d55a137c042f5760315ac3bf2c13e,shapenetsem,,bottle of wine,wine bottle,fridge; kitchen_cabinet,
2d3f7082ad6d293daf6843c094838b08,shapenetsem,,bottled water,bottled water,fridge; kitchen_cabinet,
27f2de454f50ccea39f3410d5f76299b,shapenetsem,,box of cereal,cereal box,kitchen_cabinet,
b7d15c3a5784f95460c90262984aef06,shapenetsem,,box of crackers,crackers,kitchen_cabinet,
Nordic_Ware_Original_Bundt_Pan,googleobjs,,bundt cake pan,bundt cake pan,kitchen_cabinet,
butter,amazon,https://a.co/d/cACBf5t,butter,butter,fridge,
73b3911fd2f1ba4830612f5c0ef21eb8,shapenetsem,,can of beans,canned beans,kitchen_cabinet,
11c785813efc4b8630eaaf40a8a562c1,shapenetsem,,can of soda/pop,soda can,fridge; kitchen_cabinet,
OXO_Soft_Works_Can_Opener_SnapLock,googleobjs,,can opener,can opener,kitchen_cabinet,
b94fcdffbd1befa57f5e345e9a3e5d44,shapenetsem,,candle,candle,shelving_unit; chest_of_drawers,
candle_holder,amazon,https://a.co/d/5vqxmkS,candle stand,candle stand,shelving_unit,
e823673c1edd73fb97c426435543a860,shapenetsem,,cap,cap,chest_of_drawers,
3ffae4454d205ac8bf23a820d8bbc1f8,shapenetsem,,carrot,carrot,fridge,
carton_of_eggs,amazon,https://a.co/d/htSRL61,carton of eggs,eggs,fridge,
