name,synset,review_column
alarm clock,alarm_clock.n.01,
alexa smart home device,personal_digital_assistant.n.01,
apple,apple.n.01,
aromatic oil diffuser,atomizer.n.01,?
bag of sugar,sugar.n.01,
banana,banana.n.02,
bar of soap,bar_soap.n.01,
basket,basket.n.01,
beer mug,beer_mug.n.01,
body sponge (loofah),loofa.n.01,
body wash,soap.n.01,?
book,book.n.01,
bottle of lemonade,lemonade.n.01,
bottle of lotion,lotion.n.01,
bottle of perfume,perfume.n.02,
bottle of wine,wine.n.01,
bottled water,water_bottle.n.01,
box of cereal,cereal.n.03,
box of crackers,cracker.n.01,
bundt cake pan,pan.n.01,
butter,butter.n.01,
can of beans,common_bean.n.02,
can of soda/pop,pop.n.02,
can opener,opener.n.03,
candle,candle.n.01,
candle stand,candelabrum.n.01,
cap,baseball_cap.n.01,
carrot,carrot.n.01,
carton of eggs,egg.n.01,
cereal bowl,cereal_bowl.n.01,
cheese,cheese.n.01,
chicken broth,chicken_broth.n.01,
china plate,plate.n.04,
chocolate syrup,sugar_syrup.n.01,?
coffee mug,coffee_mug.n.01,
cotton swabs,cotton.n.01,
decor item,interior_decoration.n.01,
decorative vase,vase.n.01,
dental floss,dental_floss.n.01,
deodorant,cologne.n.02,
electric trimmer,shaver.n.03,
frying pan,frying_pan.n.01,
glass cleaner,cleansing_agent.n.01,
hair brush,hairbrush.n.01,
hair dryer,hand_blower.n.01,
hair straightener,straightener.n.01,
hat,hat.n.01,
heavy cream,heavy_cream.n.01,
ketchup bottle,catsup.n.01,
lamp,table_lamp.n.01,
lime squeezer,squeezer.n.01,
lipstick,lipstick.n.01,
loaf of bread,loaf_of_bread.n.01,
magazine,magazine.n.01,
milk carton,milk.n.01,
mug,mug.n.04,
nail polish bottle,nail_polish.n.01,
necklace,necklace.n.01,
orange juice,orange_juice.n.01,
peanut butter,peanut_butter.n.01,
photo frame,frame.n.10,
pill bottle,pill_bottle.n.01,
plant,plant.n.02,
purse/handbag,bag.n.04,
razor,safety_razor.n.01,
rubber gloves,glove.n.02,
sanitizing wipes,fabric.n.01,?
saucepan with lid,saucepan.n.01,
scrub brush,scrub_brush.n.01,
serving tray,tray.n.01,
shampoo bottle,shampoo.n.01,
silicone spatula,spatula.n.01,
soap dispenser,soap_dispenser.n.01,
sour cream,sour_cream.n.01,
soy sauce,soy_sauce.n.01,
spectacles,spectacles.n.01,
statue,statue.n.01,
strawberry jam,strawberry_jam.n.01,
sunglasses,sunglasses.n.01,
t-shirt,polo_shirt.n.01,
tea pot,kettle.n.01,
tissue box,kleenex.n.01,
toilet paper roll,toilet_tissue.n.01,
toothbrush,toothbrush.n.01,
toothpaste,toothpaste.n.01,
tortillas,tortilla.n.01,
towel,towel.n.01,
vanity mirror,mirror.n.01,
vase with flowers,vase.n.01,?
vintage radio,radio_receiver.n.01,
wallet,wallet.n.01,
watch,wristwatch.n.01,
wine glass,wineglass.n.01,
